count,value

0,374

1,371

2,370

3,387

4,378

5,392

6,334

7,374

8,380

9,356

10,348

11,391

12,338

13,338

14,371

15,380

16,398

17,348

18,385

19,401

20,346

21,363

22,376

23,323

24,352

25,360

26,312

27,365

28,301

29,373

30,402

31,385

32,407

33,376

34,395

35,375

36,370

37,371

38,360

39,350

40,376

41,384

42,387

43,369

44,361

45,374

46,377

47,355

48,380

49,290

50,366

51,394

52,371

53,390

54,372

55,335

56,399

57,375

58,403

59,325

60,384

61,370

62,365

63,383

64,391

65,337

66,393

67,395

68,372

69,363

70,355

71,370

72,321

73,280

74,367

75,285

76,375

77,392

78,387

79,393

80,383

81,386

82,400

83,370

84,349

85,359

86,352

87,357

88,350

89,388

90,344

91,373

92,402

93,383

94,391

95,383

96,375

97,283

98,388

99,360

100,387

101,384

102,377

103,295

104,364

105,405

106,416

107,402

108,403

109,369

110,378

111,372

112,357

113,392

114,367

115,373

116,366

117,400

118,371

119,346

120,367

121,370

122,390

123,358

124,305

125,362

126,388

127,374

128,387

129,311

130,323

131,391

132,408

133,389

134,356

135,376

136,316

137,390

138,355

139,358

140,382

141,395

142,422

143,412

144,377

145,304

146,293

147,392

148,384

149,365

150,387

151,356

152,361

153,363

154,334

155,385

156,354

157,390

158,402

159,385

160,391

161,320

162,380

163,364

164,378

165,373

166,320

167,396

168,392

169,383

170,333

171,365

172,376

173,358

174,352

175,387

176,376

177,359

178,361

179,384

180,389

181,392

182,383

183,383

184,394

185,314

186,375

187,382

188,372

189,294

190,391

191,384

192,374

193,367

194,364

195,362

196,311

197,389

198,372

199,355

200,382

201,383

202,367

203,352

204,363

205,342

206,363

207,386

208,402

209,359

210,266

211,369

212,365

213,343

214,391

215,375

216,407

217,395

218,377

219,295

220,390

221,380

222,382

223,388

224,347

225,371

226,375

227,389

228,377

229,390

230,392

231,415

232,438

233,408

234,364

235,290

236,381

237,327

238,383

239,312

240,370

241,366

242,338

243,393

244,382

245,387

246,357

247,352

248,398

249,376

250,388

251,286

252,387

253,336

254,400

255,394

256,380

257,396

258,397

259,382

260,379

261,377

262,376

263,361

264,396

265,386

266,348

267,378

268,373

269,381

270,386

271,366

272,361

273,381

274,385

275,376

276,384

277,355

278,350

279,354

280,395

281,318

282,402

283,361

284,346

285,352

286,362

287,336

288,321

289,369

290,379

291,389

292,411

293,352

294,373

295,289

296,383

297,404

298,377

299,375

300,367

301,372

302,361

303,338

304,344

305,389

306,402

307,390

308,392

309,394

310,369

311,375

312,337

313,381

314,370

315,380

316,377

317,397

318,329

319,360

320,344

321,365

322,405

323,395

324,394

325,356

326,379

327,344

328,375

329,399

330,391

331,353

332,392

333,381

334,393

335,275

336,373

337,355

338,387

339,397

340,404

341,376

342,344

343,393

344,377

345,379

346,377

347,308

348,405

349,389

350,381

351,373

352,338

353,381

354,297

355,394

356,336

357,406

358,373

359,412

360,319

361,372

362,360

363,396

364,381

365,383

366,381

367,375

368,319

369,350

370,320

371,369

372,399

373,373

374,374

375,315

376,391

377,356

378,332

379,381

380,389

381,406

382,390

383,384

384,326

385,369

386,358

387,356

388,342

389,365

390,390

391,383

392,388

393,343

394,390

395,370

396,390

397,392

398,392

399,340

400,369

401,381

402,397

403,384

404,405

405,368

406,346

407,394

408,361

409,324

410,390

411,407

412,363

413,405

414,354

415,389

416,311

417,375

418,377

419,280

420,364

421,335

422,372

423,395

424,379

425,362

426,364

427,372

428,406

429,383

430,383

431,366

432,387

433,385

434,363

435,341

436,306

437,300

438,387

439,392

440,392

441,370

442,378

443,366

444,367

445,352

446,383

447,363

448,368

449,379

450,372

451,385

452,374

453,294

454,363

455,370

456,369

457,381

458,386

459,364

460,383

461,371

462,352

463,376

464,359

465,357

466,389

467,386

468,377

469,375

470,371

471,386

472,391

473,407

474,393

475,379

476,339

477,372

478,377

479,397

480,391

481,394

482,398

483,383

484,399

485,304

486,389

487,378

488,371

489,367

490,370

491,362

492,389

493,394

494,382

495,360

496,373

497,384

498,382

499,377

500,292

501,352

502,385

503,377

504,384

505,375

506,390

507,397

508,353

509,380

510,375

511,369

512,340

513,351

514,405

515,387

516,393

517,370

518,332

519,379

520,375

521,373

522,364

523,356

524,393

525,371

526,391

527,375

528,316

529,371

530,391

531,400

532,419

533,404

534,296

535,372

536,344

537,386

538,376

539,322

540,383

541,365

542,370

543,356

544,340

545,370

546,396

547,399

548,407

549,317

550,382

551,372

552,375

553,403

554,379

555,370

556,370

557,411

558,329

559,363

560,395

561,370

562,386

563,336

564,396

565,357

566,352

567,365

568,380

569,374

570,379

571,382

572,380

573,391

574,356

575,338

576,372

577,364

578,379

579,403

580,382

581,374

582,397

583,359

584,383

585,350

586,380

587,381

588,399

589,347

590,372

591,320

592,383

593,315

594,339

595,392

596,374

597,381

