count,value

0,283

1,325

2,331

3,321

4,319

5,339

6,272

7,296

8,307

9,340

10,321

11,342

12,351

13,320

14,276

15,338

16,341

17,346

18,309

19,305

20,288

21,320

22,397

23,324

24,274

25,339

26,319

27,340

28,328

29,323

30,315

31,338

32,363

33,305

34,302

35,309

36,337

37,303

38,318

39,416

40,334

41,256

42,353

43,327

44,353

45,264

46,319

47,428

48,309

49,320

50,304

51,309

52,303

53,298

54,337

55,343

56,320

57,271

58,275

59,351

60,332

61,342

62,304

63,347

64,308

65,326

66,309

67,332

68,312

69,319

70,320

71,334

72,302

73,335

74,320

75,309

76,343

77,229

78,345

79,335

80,345

81,266

82,324

83,215

84,335

85,308

86,298

87,351

88,366

89,345

90,275

91,335

92,295

93,322

94,251

95,408

96,311

97,337

98,285

99,320

100,325

101,348

102,316

103,342

104,328

105,330

106,319

107,332

108,337

109,233

110,327

111,365

112,371

113,338

114,280

115,285

116,321

117,324

118,333

119,263

120,347

121,180

122,320

123,287

124,345

125,260

126,322

127,200

128,330

129,320

130,335

131,323

132,277

133,401

134,320

135,355

136,300

137,371

138,318

139,320

140,318

141,317

142,306

143,327

144,259

145,279

146,319

147,323

148,320

149,284

150,323

151,316

152,357

153,290

154,315

155,331

156,303

157,327

158,315

159,313

160,344

161,324

162,347

163,125

164,335

165,331

166,320

167,335

168,252

169,288

170,330

171,323

172,337

173,337

174,419

175,323

176,335

177,321

178,329

179,327

180,335

181,307

182,332

183,345

184,178

185,316

186,329

187,353

188,338

189,320

190,255

191,338

192,317

193,307

194,426

195,318

196,324

197,311

198,315

199,340

200,324

201,177

202,322

203,298

204,325

205,352

206,320

207,300

208,337

209,331

210,342

211,330

212,323

213,230

214,327

215,324

216,331

217,320

218,347

219,327

220,319

221,318

222,287

223,327

224,314

225,328

226,405

227,354

228,207

229,314

230,315

231,303

232,290

233,324

234,341

235,281

236,337

237,322

238,327

239,296

240,320

241,417

242,331

243,333

244,346

245,207

246,309

247,333

248,338

249,313

250,330

251,235

252,331

253,357

254,314

255,354

256,322

257,327

258,360

259,270

260,357

261,320

262,336

263,285

264,407

265,271

266,323

267,327

268,326

269,286

270,358

271,409

272,325

273,322

274,345

275,335

276,311

277,336

278,293

279,343

280,322

281,319

282,296

283,304

284,294

285,346

286,324

287,341

288,245

289,331

290,330

291,341

292,331

293,322

