count,value

0,196

1,196

2,195

3,199

4,196

5,196

6,197

7,195

8,199

9,192

10,195

11,197

12,206

13,197

14,199

15,194

16,197

17,193

18,195

19,197

20,196

21,197

22,199

23,192

24,193

25,196

26,197

27,194

28,195

29,198

30,196

31,198

32,196

33,201

34,199

35,197

36,196

37,197

38,197

39,195

40,198

41,196

42,205

43,197

44,193

45,195

46,198

47,196

48,196

49,202

50,195

51,197

52,196

53,193

54,196

55,196

56,193

57,192

58,200

59,199

60,193

61,191

62,194

63,206

64,197

65,202

66,194

67,195

68,199

69,199

70,196

71,197

72,199

73,194

74,193

75,195

76,201

77,194

78,196

79,197

80,190

81,196

82,192

83,196

84,195

85,199

86,199

87,196

88,192

89,197

90,193

91,196

92,197

93,196

94,199

95,198

96,194

97,196

98,203

99,199

100,193

101,196

102,197

103,198

104,197

105,192

106,199

107,192

108,196

109,197

110,194

111,194

112,201

113,192

114,195

115,193

116,196

117,197

118,193

119,198

120,199

121,199

122,192

123,197

124,193

125,197

126,192

127,192

128,190

129,197

130,200

131,199

132,197

133,199

134,197

135,192

136,193

137,199

138,198

139,198

140,194

141,199

142,198

143,198

144,199

145,191

146,197

147,198

148,198

149,197

150,196

151,197

152,196

153,193

154,194

155,195

156,193

157,193

158,196

159,199

160,199

161,201

162,201

163,197

164,195

165,196

166,195

167,196

168,195

169,200

170,194

171,195

172,190

173,196

174,198

175,197

176,196

177,196

178,197

179,196

180,195

181,194

182,198

183,198

184,193

185,199

186,197

187,199

188,197

189,197

190,192

191,199

192,199

193,192

194,198

195,196

196,196

197,190

198,196

199,201

200,199

201,195

202,199

203,200

204,197

205,195

206,197

207,193

208,192

209,193

210,196

211,194

212,192

213,195

214,194

215,194

216,196

217,197

218,197

219,197

220,196

221,197

222,197

223,197

224,192

225,195

226,197

227,197

228,197

229,195

230,192

231,196

232,195

233,194

234,195

235,191

236,193

237,201

238,196

239,192

240,202

241,198

242,198

243,199

244,196

245,197

246,189

247,193

248,194

249,195

250,196

251,199

252,198

253,197

254,196

255,197

256,198

257,194

258,203

259,196

260,195

261,197

262,197

263,199

264,195

265,197

266,192

267,197

268,197

269,194

270,196

271,197

272,201

273,197

274,198

275,197

276,195

277,192

278,195

279,197

280,196

281,198

282,199

283,193

284,199

285,201

286,198

287,200

288,194

289,197

290,197

291,199

292,188

293,197

294,194

295,195

296,195

297,201

298,198

299,196

300,197

301,199

302,200

303,197

304,203

305,194

306,197

307,196

308,202

309,192

310,196

311,198

312,198

313,196

314,195

315,197

316,196

317,197

318,197

319,195

320,199

321,199

322,193

323,199

324,199

325,192

326,195

327,199

328,195

329,196

330,195

331,199

332,197

333,197

334,194

335,193

336,196

337,196

338,196

339,193

340,192

341,192

342,201

343,201

344,195

345,198

346,197

347,197

348,192

349,196

350,203

351,197

352,194

353,193

354,198

355,198

356,192

357,191

358,195

359,193

360,194

361,195

362,193

363,198

364,201

365,195

366,197

367,192

368,198

369,195

370,193

371,197

372,200

373,196

374,195

375,197

376,194

377,196

378,195

379,274

380,193

381,195

382,196

383,194

384,194

385,196

386,197

387,204

388,196

389,197

390,196

391,199

392,195

393,195

394,193

395,198

396,202

397,197

398,196

399,197

400,195

401,191

402,198

403,199

404,199

405,195

406,195

407,199

408,195

409,196

410,194

411,191

412,205

413,191

414,193

415,193

416,196

417,196

418,199

419,196

420,198

421,197

422,195

423,195

424,192

425,202

426,199

427,195

428,195

429,200

430,195

431,195

432,194

433,197

434,195

435,197

436,193

437,202

438,195

439,200

440,199

441,201

442,196

443,197

444,199

445,193

446,201

447,197

448,192

449,190

450,193

451,195

452,198

453,196

454,196

455,197

456,199

457,203

458,194

459,195

460,198

461,199

462,198

463,199

464,194

465,197

466,195

467,197

468,199

469,193

470,193

471,199

472,196

473,194

474,194

475,196

476,195

477,199

478,198

479,198

480,194

481,195

482,197

483,201

484,196

485,193

486,197

487,204

488,200

489,192

490,197

491,198

492,194

493,196

494,198

495,196

496,197

497,199

498,197

499,192

500,197

501,198

502,192

503,196

504,194

505,198

506,198

507,197

508,197

509,197

510,194

511,192

512,197

513,194

514,197

515,192

516,199

517,192

518,201

519,196

520,201

521,197

522,196

523,196

524,194

525,193

526,193

527,200

528,196

529,199

530,198

531,200

532,194

533,194

534,197

535,195

536,198

537,195

538,197

539,197

540,199

541,193

542,197

543,193

544,192

545,195

546,201

547,199

548,196

549,198

550,194

551,197

552,198

553,194

554,195

555,192

556,196

557,192

558,196

559,194

560,193

561,198

562,194

563,197

564,195

565,195

566,196

567,196

568,195

569,198

570,195

571,195

572,194

573,195

574,193

575,195

576,194

577,196

578,195

579,200

580,200

581,195

582,193

583,196

584,198

585,197

586,197

587,201

588,197

589,197

590,201

591,196

592,196

593,199

594,194

595,195

596,197

597,195

598,197

599,195

600,199

601,196

602,194

603,194

604,196

605,196

606,197

607,195

608,196

609,198

610,196

611,196

612,197

613,191

614,195

615,195

616,205

617,196

618,192

619,202

620,197

621,192

622,197

623,196

624,202

625,194

626,197

627,194

628,194

629,192

630,198

631,197

632,198

633,199

634,192

635,191

636,191

637,203

638,196

639,194

640,196

641,199

642,197

643,192

644,195

645,197

646,197

647,196

648,195

649,192

650,194

651,202

652,197

653,204

654,198

655,197

656,195

657,198

658,194

659,192

660,194

661,196

662,196

663,195

664,198

665,194

666,200

667,195

668,196

669,193

670,203

671,194

672,193

673,197

674,198

675,197

676,198

677,196

678,192

679,197

680,195

681,196

682,192

683,201

684,198

685,196

686,196

687,203

688,195

689,196

690,196

691,198

692,197

693,197

694,195

695,200

696,201

697,195

698,194

699,192

700,197

701,192

702,196

703,198

704,196

705,194

706,193

707,195

708,203

709,193

710,195

711,197

712,197

713,197

714,197

715,196

716,197

717,192

718,199

719,195

720,194

721,199

722,197

723,191

724,203

725,201

726,192

727,196

728,198

729,196

730,196

731,196

732,197

733,196

734,197

735,196

736,197

737,198

738,198

739,196

740,201

741,198

742,197

743,192

744,196

745,199

746,199

747,195

748,194

749,192

750,197

751,194

752,195

753,193

754,193

755,199

756,199

757,196

758,199

759,195

760,196

761,192

762,192

763,195

764,188

765,199

766,201

767,198

768,194

769,195

770,196

771,199

772,196

773,193

774,197

775,197

776,197

777,196

778,195

779,199

780,196

781,197

782,196

783,201

784,198

785,196

786,199

787,201

788,196

789,190

790,197

791,194

792,192

793,194

794,196

795,192

796,194

797,198

798,197

799,192

800,194

801,194

802,196

803,196

804,202

805,195

806,197

807,195

808,200

809,195

810,194

811,197

812,196

813,201

814,198

815,199

816,201

817,196

818,201

819,198

820,194

821,191

822,200

823,199

824,193

825,202

826,194

827,200

828,199

829,198

830,196

831,193

832,195

833,194

834,197

835,194

836,197

837,198

838,197

839,197

840,194

841,197

842,204

843,202

844,197

845,195

846,204

847,197

848,197

849,192

850,199

851,192

852,195

853,195

854,202

855,194

856,198

857,199

858,202

859,198

860,192

861,194

862,196

863,195

864,190

865,199

866,196

867,191

868,192

869,198

870,196

871,196

872,196

873,192

874,193

875,196

876,202

877,197

878,198

879,194

880,199

881,196

882,197

883,188

884,196

885,200

886,191

887,198

888,198

889,199

890,195

891,196

892,192

893,196

894,195

895,195

896,198

897,198

898,196

899,198

900,203

901,198

902,198

903,197

904,192

905,195

906,197

907,196

