count,value

0,117

1,119

2,143

3,115

4,114

5,108

6,108

7,121

8,113

9,110

10,115

11,112

12,115

13,110

14,114

15,105

16,115

17,109

18,147

19,109

20,107

21,114

22,117

23,112

24,109

25,115

26,114

27,112

28,123

29,106

30,119

31,109

32,117

33,114

34,110

35,104

36,146

37,114

38,113

39,119

40,113

41,107

42,115

43,114

44,115

45,117

46,117

47,113

48,109

49,113

50,113

51,112

52,111

53,113

54,147

55,111

56,118

57,109

58,113

59,112

60,108

61,114

62,118

63,113

64,111

65,110

66,113

67,109

68,113

69,118

70,114

71,117

72,151

73,106

74,114

75,118

76,113

77,116

78,111

79,111

80,118

81,117

82,113

83,104

84,119

85,108

86,110

87,103

88,112

89,113

90,142

91,110

92,105

93,110

94,116

95,105

96,110

97,116

98,119

99,147

100,109

101,108

102,115

103,114

104,113

105,137

106,114

107,105

108,115

109,113

110,116

111,113

112,113

113,119

114,109

115,109

116,147

117,106

118,108

119,107

120,117

121,117

122,115

123,113

124,116

125,113

126,110

127,117

128,143

129,108

130,112

131,111

132,118

133,111

134,113

135,110

136,106

137,117

138,117

139,113

140,116

141,113

142,122

143,110

144,117

145,142

146,108

147,118

148,114

149,119

150,111

151,143

152,108

153,112

154,113

155,113

156,113

157,112

158,115

159,114

160,113

161,112

162,117

163,114

164,112

165,118

166,119

167,112

168,125

169,118

170,113

171,113

172,123

173,113

174,109

175,117

176,114

177,114

178,115

179,143

180,114

181,113

182,119

183,109

184,113

185,108

186,113

187,116

188,112

189,114

190,114

191,118

192,113

193,111

194,114

195,118

196,114

197,117

198,117

199,114

200,110

201,116

202,143

203,117

204,124

205,109

206,113

207,105

208,113

209,114

210,118

211,114

212,122

213,113

214,112

215,111

216,117

217,114

218,115

219,117

220,113

221,113

222,122

223,109

224,109

225,113

226,114

227,112

228,112

229,112

230,113

231,114

232,110

233,115

234,110

235,107

236,120

237,104

238,119

239,111

240,115

241,112

242,117

243,106

244,110

245,116

246,108

247,113

248,101

249,113

250,108

251,113

252,109

253,118

254,120

255,113

256,124

257,120

258,113

259,143

260,117

261,113

262,113

263,115

264,116

265,114

266,109

267,107

268,113

269,118

270,117

271,116

272,112

273,108

274,118

275,111

276,135

277,117

278,119

279,115

280,112

281,112

282,106

283,111

284,110

285,112

286,108

287,115

288,114

289,113

290,114

291,122

292,113

293,147

294,106

295,110

296,108

297,108

298,114

299,114

300,114

301,109

302,109

303,118

304,144

305,114

306,113

307,115

308,106

309,118

310,152

311,114

312,114

313,117

314,107

315,112

316,117

317,105

318,114

319,113

320,110

321,113

322,117

323,104

324,111

325,105

326,119

327,114

328,120

329,109

330,109

331,113

332,108

333,117

334,114

335,121

336,108

337,111

338,114

339,112

340,110

341,108

342,114

343,113

344,111

345,116

346,117

347,110

348,114

349,112

350,141

351,120

352,114

353,114

354,117

355,120

356,114

357,118

358,114

359,113

360,108

361,117

362,116

363,115

364,113

365,117

366,113

367,147

368,112

369,113

370,109

371,109

372,113

373,108

374,121

375,114

376,108

377,108

378,114

379,124

380,112

381,119

382,112

383,113

384,114

385,118

386,119

387,109

388,116

389,119

390,115

391,108

392,114

393,118

394,110

395,109

396,123

397,119

398,118

399,112

400,113

401,111

402,109

403,108

404,106

405,109

406,112

407,135

408,113

409,112

410,110

411,113

412,114

413,112

414,113

415,112

416,109

417,109

418,109

419,117

420,117

421,114

422,113

423,116

424,148

425,115

426,106

427,117

428,114

429,108

430,113

431,111

432,116

433,113

434,113

435,109

436,112

437,117

438,115

439,117

440,122

441,144

442,115

443,104

444,106

445,112

446,108

447,114

448,112

449,110

450,120

451,117

452,105

453,112

454,116

455,114

456,121

457,121

458,143

459,113

460,112

461,118

462,112

463,108

464,112

465,116

466,113

467,112

468,113

469,148

470,110

471,117

472,113

473,109

474,109

475,114

476,115

477,113

478,118

479,109

480,115

481,151

482,117

483,115

484,114

485,117

486,120

487,114

488,110

489,108

490,114

491,113

492,115

493,117

494,115

495,112

496,109

497,113

498,147

499,115

500,107

501,115

502,113

503,114

504,123

505,109

506,109

507,115

508,123

509,117

510,114

511,119

512,110

513,112

514,119

515,143

516,114

517,111

518,113

519,120

520,113

521,109

522,117

523,105

524,109

525,110

526,147

527,114

528,109

529,113

530,108

531,112

532,144

533,118

534,106

535,117

536,112

537,113

538,119

539,120

540,110

541,110

542,116

543,112

544,114

545,114

546,121

547,111

548,114

549,115

550,114

551,109

552,113

553,117

554,147

555,112

556,118

557,107

558,113

559,117

560,117

561,113

562,113

563,112

564,110

565,113

566,106

567,108

568,114

569,118

570,114

571,116

572,114

573,117

574,114

575,115

576,105

577,119

578,114

579,116

580,116

581,101

582,113

583,115

584,114

585,111

586,114

587,110

588,110

589,116

590,117

591,112

592,112

593,107

594,110

595,111

596,112

597,111

598,113

599,108

600,148

601,109

602,114

603,110

604,112

605,113

606,121

607,112

608,123

609,114

610,109

611,142

612,113

613,109

614,114

615,113

616,118

617,116

618,110

619,114

620,114

621,117

622,106

623,123

624,113

625,120

626,121

627,117

628,109

629,109

630,114

631,110

632,114

633,117

634,142

635,110

636,112

637,114

638,117

639,112

640,106

641,112

642,116

643,118

644,117

645,116

646,111

647,109

648,119

649,105

650,110

651,148

652,111

653,106

654,117

655,113

656,147

657,114

658,112

659,113

660,118

661,113

662,115

663,112

664,113

665,119

666,110

667,119

668,113

669,112

670,112

671,116

672,114

673,106

674,110

675,113

676,113

677,120

678,109

679,147

680,112

681,104

682,109

683,118

684,112

685,119

686,109

687,109

688,117

689,114

690,113

691,145

692,115

693,115

694,110

695,114

696,119

697,117

698,117

699,104

700,104

701,112

702,113

703,110

704,112

705,109

706,110

707,113

708,117

709,109

710,117

711,113

712,109

713,108

714,106

715,117

716,116

717,105

718,105

719,116

720,113

721,114

722,116

723,110

724,118

725,144

726,120

727,113

728,117

729,118

730,112

731,108

732,121

733,120

734,115

735,109

736,113

737,113

738,110

739,112

740,116

741,113

742,154

743,110

744,114

745,111

746,114

747,139

748,118

749,108

750,113

751,117

752,113

753,107

754,117

755,117

756,114

757,109

758,115

759,147

760,114

761,123

762,113

763,109

764,117

765,122

766,105

767,116

768,121

769,117

770,113

771,108

772,116

773,117

774,114

775,114

776,113

777,110

778,117

779,117

780,112

781,110

782,146

783,114

784,110

785,114

786,113

787,108

788,114

789,108

790,114

791,118

792,111

793,116

794,116

795,113

796,123

797,113

798,111

799,112

800,113

801,109

802,114

803,113

804,108

805,110

806,112

807,115

808,110

809,117

810,140

811,112

812,111

813,109

814,101

815,114

816,142

817,109

818,110

819,117

820,110

821,116

822,117

823,109

824,113

825,107

826,113

827,139

828,114

829,114

830,109

831,115

832,115

833,113

834,113

835,112

836,114

837,109

838,112

839,120

840,117

841,115

842,112

843,109

844,110

845,113

846,109

847,116

848,115

849,111

850,110

851,109

852,119

853,110

854,114

855,113

856,142

857,110

858,116

859,118

860,101

861,113

862,112

863,114

864,110

865,109

866,118

867,120

868,108

869,114

870,119

871,113

872,113

873,118

874,116

875,116

876,121

877,110

878,105

879,115

880,117

881,117

882,122

883,110

884,109

885,113

886,118

887,114

888,118

889,114

890,110

891,113

892,113

893,113

894,117

895,114

896,105

897,110

898,110

899,114

900,110

901,121

902,112

903,112

904,118

905,114

906,112

907,113

908,119

909,117

910,112

911,118

912,117

913,147

914,110

915,113

916,110

917,110

918,112

919,114

920,113

921,115

922,113

923,113

924,116

925,116

926,117

927,113

928,114

929,121

930,117

931,108

932,108

933,114

934,117

935,110

936,112

937,111

938,110

939,108

940,109

941,106

942,148

943,112

944,115

