count,value

0,365

1,374

2,388

3,331

4,393

5,324

6,353

7,369

8,374

9,376

10,334

11,363

12,368

13,375

14,373

15,306

16,384

17,376

18,328

19,357

20,356

21,340

22,348

23,298

24,369

25,357

26,362

27,352

28,388

29,382

30,377

31,264

32,405

33,383

34,389

35,362

36,352

37,393

38,372

39,352

40,398

41,375

42,377

43,370

44,379

45,352

46,374

47,361

48,341

49,354

50,316

51,321

52,362

53,318

54,371

55,342

56,369

57,312

58,363

59,384

60,355

61,320

62,361

63,377

64,373

65,379

66,370

67,362

68,373

69,364

70,370

71,312

72,282

73,359

74,379

75,313

76,358

77,381

78,385

79,382

80,378

81,377

82,370

83,392

84,369

85,365

86,393

87,366

88,376

89,361

90,336

91,369

92,356

93,367

94,353

95,375

96,337

97,369

98,369

99,381

100,361

101,356

102,362

103,371

104,344

105,396

106,351

107,377

108,388

109,376

110,391

111,304

112,370

113,354

114,365

115,302

116,383

117,377

118,338

119,377

120,378

121,381

122,385

123,375

124,382

125,380

126,344

127,375

128,355

129,387

130,347

131,389

132,361

133,375

134,358

135,348

136,368

137,357

138,381

139,378

140,390

141,385

142,372

143,383

144,375

145,359

146,362

147,359

148,343

149,369

150,377

151,381

152,373

153,401

154,369

155,365

156,310

157,341

158,304

159,337

160,391

161,369

162,381

163,299

164,367

165,375

166,360

167,350

168,335

169,372

170,381

171,384

172,360

173,376

174,296

175,362

176,377

177,377

178,370

179,362

180,371

181,382

182,360

183,370

184,370

185,360

186,364

187,359

188,379

189,367

190,366

191,377

192,303

193,385

194,365

195,346

196,353

197,325

198,378

199,365

200,356

201,402

202,313

203,368

204,366

205,355

206,370

207,329

208,379

209,301

210,376

211,360

212,397

213,361

214,381

215,373

216,383

217,383

218,371

219,365

220,311

221,377

222,356

223,352

224,383

225,378

226,383

227,373

228,365

229,334

230,346

231,345

232,386

233,381

234,361

235,383

236,346

237,364

238,364

239,353

240,339

241,352

242,381

243,296

244,381

245,368

246,385

247,386

248,350

249,336

250,351

251,368

252,300

253,391

254,381

255,381

256,352

257,380

258,366

259,373

260,378

261,390

262,407

263,385

264,373

265,378

266,374

267,352

268,344

269,299

270,352

271,369

272,370

273,320

274,365

275,373

276,371

277,367

278,349

279,351

280,320

281,347

282,395

283,347

284,283

285,351

286,382

287,367

288,359

289,387

290,349

291,361

292,372

293,362

294,322

295,373

296,377

297,363

298,389

299,373

300,377

301,344

302,363

303,389

304,376

305,406

306,351

307,374

308,375

309,365

310,356

311,352

312,364

313,329

314,376

315,371

316,377

317,386

318,398

319,375

320,351

321,377

322,344

323,405

324,352

325,380

326,375

327,369

328,379

329,377

330,380

331,366

332,375

333,363

334,362

335,376

336,369

337,366

338,376

339,402

340,309

341,360

342,332

343,370

344,372

345,377

346,368

347,349

348,397

349,348

350,379

351,370

352,298

353,403

354,328

355,376

356,342

357,374

358,370

359,384

360,363

361,293

362,367

363,375

364,391

365,336

366,378

367,364

368,351

369,375

370,387

371,371

372,365

373,369

374,367

375,362

376,272

377,381

378,357

379,368

380,356

381,369

382,353

383,353

384,375

385,302

386,302

387,383

388,368

389,352

390,343

391,381

392,376

393,397

394,381

395,379

396,395

397,381

398,402

399,400

400,393

401,302

402,364

403,362

404,352

405,378

406,361

407,355

408,362

409,353

410,361

411,361

412,373

413,366

414,377

415,366

416,371

417,370

418,363

419,344

420,382

421,342

422,356

423,358

424,351

425,383

426,345

427,405

428,345

429,374

430,362

431,352

432,386

433,351

434,369

435,351

436,359

437,369

438,341

439,374

440,377

441,399

442,367

443,376

444,390

445,371

446,370

447,381

448,372

449,355

450,372

451,357

452,362

453,359

454,351

455,329

456,366

457,334

458,373

459,375

460,384

461,371

462,362

463,387

464,368

465,391

466,372

467,340

468,369

469,389

470,391

471,366

472,379

473,352

474,340

475,330

476,325

477,390

478,345

479,365

480,382

481,353

482,395

483,369

484,365

485,355

486,339

487,379

488,378

489,377

490,365

491,390

492,373

493,378

494,302

495,369

496,345

497,366

498,383

499,381

500,370

501,367

502,360

